Start,End,Phenomena,Location,Causes,Reports
20/08/2020,29/08/2020,Furacão Laura,Estados Unidos e caribe,temporada furacões muito ativa,"https://public.wmo.int/en/media/news/hurricane-laura-hits-usa
https://www.bbc.com/news/world-us-canada-53959494
https://www.accuweather.com/en/hurricane/death-toll-from-laura-climbs-in-caribbean-to-at-least-23/799972"
,,Queimadas,Goias,Tempo seco/estiagem,https://g1.globo.com/go/goias/noticia/2020/09/01/ha-mais-de-100-dias-sem-chuva-goias-registra-em-agosto-o-maior-numero-de-queimadas-deste-ano.ghtml
,,Queimadas,Brasil,Tempo seco/estiagem,https://noticias.uol.com.br/meio-ambiente/ultimas-noticias/redacao/2020/09/01/agosto-atinge-recorde-de-focos-de-incendio-no-ano-ac-e-pantanal-preocupam.htm
,,Queimadas,Pantanal,Tempo seco/estiagem,https://g1.globo.com/natureza/noticia/2020/09/01/pantanal-tem-segundo-maior-numero-de-queimadas-para-agosto-desde-inicio-das-medicoes-focos-detectados-na-amazonia-superam-media-historica.ghtml
6/9/2020,7/9/2020,Recorde calor,Manaus,,https://g1.globo.com/am/amazonas/noticia/2020/09/12/manaus-registra-dias-mais-quentes-do-ano-ao-atingir-temperatura-de-37o-em-setembro.ghtml
12/9/2020,,Recorde calor,São Paulo e Rio de Janeiro,,https://metsul.com/sao-paulo-tem-dia-mais-quente-do-ano-rio-de-janeiro-do-inverno-com-40c/
10/9/2020,,Recorde calor,Cuiabá,,https://metsul.com/cuiaba-registra-maior-temperatura-da-sua-historia/
13/09/2020,,Recorde calor,Cuiabá,,https://g1.globo.com/mt/mato-grosso/noticia/2020/09/14/cuiaba-bate-recorde-de-calor-dos-ultimos-100-anos-e-registra-427oc-e-umidade-de-7percent-diz-inmet.ghtml
10/9/2020,,Recorde calor,Bauru,,https://g1.globo.com/sp/bauru-marilia/noticia/2020/09/10/com-372oc-bauru-registra-a-maior-temperatura-no-ano.ghtml
3/9/2020,,Recorde frio,Antartica,,https://metsul.com/base-polar-na-antartida-registra-recorde-de-frio/
11/9/2020,,Céu coberto de fumaça,Rio Grande do Sul,Queimadas Pantanal,https://www.sul21.com.br/ultimas-noticias/geral/2020/09/fumaca-das-queimadas-no-pantanal-cobre-o-ceu-do-rio-grande-do-sul-nesta-sexta-11/
18/09/2020,,Medicane,Grécia,,https://www.tempo.com/noticias/actualidade/ciclone-ianos-faz-landfall-na-grecia-fenomeno-raro-no-mediterraneo.html
16/09/2020,,Furacão Sally,Estados Unidos,,https://www.tempo.com/noticias/actualidade/furacao-sally-deixa-rastro-de-destruicao-na-florida-e-no-alabama.html
Todo mes,,Recorde calor,Cuiabá,,https://g1.globo.com/mt/mato-grosso/noticia/2020/09/30/em-setembro-de-calor-extremo-cuiaba-deve-bater-novo-recorde-e-chegar-a-43oc.ghtml
30/09/2020,,Recorde calor,Cuiabá,,https://g1.globo.com/mt/mato-grosso/noticia/2020/10/01/cuiaba-bate-recorde-de-calor-dos-ultimos-109-anos-e-chega-a-44c.ghtml
Todo mes,,Recorde incendios,Pantanal,,https://g1.globo.com/jornal-nacional/noticia/2020/10/01/pantanal-bate-recorde-de-focos-de-incendio-em-setembro.ghtml
30/09/2020,,Recorde calor,Mato Grosso do Sul,,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2020/10/01/ms-tem-calor-de-441c-e-cidades-do-interior-quebram-recorde-de-temperatura-do-estado-de-1962.ghtml
27/09/2020,,Recorde calor,Rio de janeiro,,https://www.climatempo.com.br/noticia/2020/09/27/novo-recorde-de-calor-na-cidade-do-rio-de-janeiro-5920
,,Recorde calor,Belo Horizonte,,"https://www.em.com.br/app/noticia/gerais/2020/09/28/interna_gerais,1189674/com-37-3-c-bh-tem-setembro-mais-quente-da-historia-confira-recordes.shtml"
,,Recorde calor,Varias capitais,,https://www.climatempo.com.br/noticia/2020/09/20/inverno-termina-com-recorde-de-calor-em-varias-capitais-5818
30/09/2020,,Recorde calor,Campo Grande,,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2020/09/30/com-408oc-campo-grande-atinge-marca-historica-de-calor-para-o-mes-de-setembro.ghtml
,,Recorde calor,São Paulo,,"https://www.terra.com.br/noticias/climatempo/sao-paulo-teve-o-setembro-mais-quente-desde-1943,9f8b1f07e9ab15ff46a878dd798dfb3dvd6t5tkt.html"
,,Fumaça,Paises América do Sul,Queimadas,https://g1.globo.com/natureza/noticia/2020/09/20/fumaca-das-queimadas-se-estende-por-mais-de-4-mil-quilometros-e-atinge-paises-vizinhos.ghtml
,,Incendios e calor,Califórnia,,https://metsul.com/a-california-arde-em-fogo-e-calor-sem-precedentes/
27/09/2020,,Incendios,INPE,,https://www.tempo.com/noticias/actualidade/incendio-atinge-a-sede-do-inpe-em-cachoeira-paulista.html
,,Temporada de furacões acima da média,Atlantico Norte,Aguas quentes atlantico e La Niña,"https://weather.com/storms/hurricane/news/2020-09-21-atlantic-hurricane-season-2020-records
https://www.usatoday.com/story/news/nation/2020/09/20/hurricane-season-2020-greek-alphabet-reminiscent-2005/5838748002/
https://www.cnn.com/2020/09/14/weather/atlantic-ocean-5-active-tropical-cyclones/index.html"
,,2° Minimo gelo marinho,Artico,,https://www.carbonbrief.org/arctic-sea-ice-shrinks-to-second-lowest-summer-minimum-on-record
1/9/2020,30/09/2020,Setembro mais quente da história e menor gelo no Ártico,Mundo,Alguns apontam para a Niña,"https://climate.copernicus.eu/surface-air-temperature-september-2020
https://climate.copernicus.eu/september-brings-record-breaking-warm-temperatures-and-low-sea-ice
https://www.climate.gov/news-features/features/september-2020-another-record-setting-month-global-heat"
1/9/2020,30/09/2020,America do Sul com 2º setembro mais quente,America do Sul,,https://www.ncei.noaa.gov/news/global-climate-202009?fbclid=IwAR31AwGNG1efx0fwqKNWnCwfgMYl5HOX2o91lp6qg5vZQqOFTByGkoV4Qs4
1/9/2020,30/09/2020,Balanço INMET para SP,São Paulo,,https://portal.inmet.gov.br/noticias/s%C3%A3o-paulo-capital-balan%C3%A7o-das-condi%C3%A7%C3%B5es-de-tempo-no-m%C3%AAs-de-setembro-de-2020
Publicado em 12/09,,A temporada de furacões de 2020 esgota lista regular de nomes,Atlantico Norte,Aguas quentes atlantico e La Niña,https://public.wmo.int/en/media/news/2020-hurricane-season-exhausts-regular-list-of-names
1/9/2020,30/09/2020,Anomalias de temperatura e precipitação significativos,Paraná,Frentes frias desviaram para o oceano antes de passar pelo estado,http://www.simepar.br/prognozweb/simepar/post/22846
setembro,metade do mês,Onda de calor,Brasil,Massa de ar qunte e seco muito intensa,"https://www.climatempo.com.br/noticia/2020/09/29/outubro-de-2020-comeca-com-forte-onda-de-calor-no-brasil-5947#:~:text=As%20temperaturas%20v%C3%A3o%20continuar%20em,por%20v%C3%A1rias%20regi%C3%B5es%20do%20pa%C3%ADs.&text=O%20calor%20extremo%20ainda%20promete,os%20dias%208%20e%209."
2/10/2020,2/10/2020,Segunda maior temperatura da história de Santa Catarina,Jaraguá SC,Massa de ar qunte e seco muito intensa,https://www.nsctotal.com.br/colunistas/puchalski/jaragua-do-sul-segunda-maior-temperatura-da-historia-de-sc-outubro-2020
6/10/2020,6/10/2020,Recorde de temperatura,Goiânia,Massa de ar qunte e seco muito intensa,https://g1.globo.com/go/goias/noticia/2020/10/06/goiania-registra-411c-e-tem-o-dia-mais-quente-dos-ultimos-83-anos-diz-inmet.ghtml
6/10/2020,6/10/2020,Recorde de temperatura,Cuiabá,Massa de ar qunte e seco muito intensa,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2020/10/05/calor-atinge-os-41c-e-campo-grande-bate-mais-um-recorde-historico.ghtml
7/10/2020,7/10/2020,Recorde de temperatura,Belo Horizonte,Massa de ar qunte e seco muito intensa; frentes frias não atuado,https://www.otempo.com.br/cidades/belo-horizonte-bate-novo-recorde-e-tem-dia-mais-quente-da-historia-com-38-4-c-1.2395888
Publicado em 08/10/2020,,RECORDE HISTÓRICO DE TEMPERATURA,MS e SP,,https://portal.inmet.gov.br/noticias/recorde-hist%C3%B3rico-de-temperatura-nos-estados-do-mato-grosso-do-sul-e-s%C3%A3o-paulo
início da segunda quinzena de outubro,,Temporais,SP,,https://www.climatempo.com.br/noticia/2020/10/26/sao-paulo-ja-tem-outubro-mais-chuvoso-desde-2009-6309
25/10/2020,27/10/2020,Ciclone subtropical Mani,Litoral sudeste,,"https://portal.inmet.gov.br/noticias/tempestade-subtropical-mani-causou-chuva-no-estado-do-esp%C3%ADrito-santo-neste-fim-de-semana
https://metsul.com/ciclone-subtropical-atinge-o-sudeste-do-brasil/
https://metsul.com/ciclone-no-sudeste-tempestade-subtropical-mani-se-forma/
https://portal.inmet.gov.br/noticias/atualiza%C3%A7%C3%A3o-nota-%C3%A0-imprensa-ciclone-extratropical-no-litoral-do-rio-de-janeiro-esp%C3%ADrito-santo-e-ao-sul-da-bahia-foi-rebaixado-%C3%A0-categoria-de-depress%C3%A3o-subtropical"
Publicado em 26/10/2020,,Estiagem,América do Sul,,"https://earthobservatory.nasa.gov/images/147480/severe-drought-in-south-america#:~:text=Large%20parts%20of%20South%20America,and%20northern%20Argentina%20by%202020."
2/11/2020,2/11/2020,Geada,Santa Catarina,,https://g1.globo.com/sc/santa-catarina/noticia/2020/11/02/serra-de-sc-registra-geada-e-temperaturas-abaixo-de-5c-no-feriado-de-finados-fotos.ghtml
3/11/2020,3/11/2020,GRANIZO HISTÓRICO EM CURITIBA E TEMPORAIS NO SUL DO BRASIL,"Leste do Rio Grande do Sul, Santa Catarina e o Paraná",,https://metsul.com/granizo-historico-em-curitiba-e-temporais-no-sul-do-brasil/?fbclid=IwAR0BRCHqmg-lXlkeLj57__WQ3SsYMcA1Lva4jJjIWRvaDMnYz7pRBNyhhYY
4/11/2020,6/11/2020,Geadas,Santa Catarina,,https://www.nsctotal.com.br/colunistas/puchalski/o-la-nina-tambem-influencia-a-temperatura-nesta-primavera?fbclid=IwAR1-hXJgoVsjxrNY-ffawkj4up5vjbOvzeTIlPtfzIyaMT6uoJQb-laGpXs
12/11/2020,13/11/2020,Ciclone Tropical Bhola: mais mortal da história,Bangladesh,,https://public.wmo.int/en/our-mandate/focus-areas/natural-hazards-and-disaster-risk-reduction/tropical-cyclones/40th_anniversary
16/11/2020,16/11/2020,Granizo,Campos de Cima da Serra - RS,,https://metsul.com/granizo-deixa-paisagem-nos-aparados-da-serra/?fbclid=IwAR1PIVoq0Z5bzKLVS6GLy4-paEig2st28brtTDL-KTTh2B-d5ZKuBjGqBKE
20/11/2020,20/11/2020,Geadas,Planalto Sul Catarinense,,https://metsul.com/previsao-do-tempo-frio-e-geada-no-sul-do-brasil/?fbclid=IwAR05u4xi_FZPpoaDfiWaVoxvzz5d4j69-6XMoz-uOgQy0AykiMsLDPEaiN8
16/11/2020,21/11/2020,Temporais e alagamentos,São Paulo,Frente fria e sistema de baixa pressão,https://www.tempo.com/noticias/actualidade/tempestades-severas-causam-alagamentos-em-sao-paulo.html?fbclid=IwAR3jFLdUQwsBVdq9Y8sHOmSUaQHfEkOvl3_c3MaRBq6yBVoIGKau2GtMQjw
20-Jun,30/11/2020,Balanço da temporada de furacões,Atlântico Norte,,https://www.noaa.gov/media-release/record-breaking-atlantic-hurricane-season-draws-to-end?fbclid=IwAR3Haf3YmfQ0UqfytQhF91OzLj3J84hpHmF7b0obuK1tCaFO9DUdMLGoOyU
Publicado em 07/11/2020,,Fim dos incëndios,Pantanal,Periodo prolongado de secas + acao humana (sendo investigada) deram inicio aos incëndios. O atraso do inicio da estacao chuvosa favorece focos isolados de incendios,"https://veja.abril.com.br/brasil/chuvas-de-novembro-dao-alento-ao-pantanal-e-turismo-volta-com-forca/
https://www.bbc.com/portuguese/internacional-54848995"
Publicado em 26/11/2020,,Intensificacao da seca,Sul do Brasil,La Nina,http://www.cemaden.gov.br/intensificacao-de-seca-em-varias-regioes-brasileiras-e-situacao-critica-em-reservatorios-da-regiao-sul-sao-apontados-em-boletim-do-cemaden/
18/11/2020,-,111 anos do INMET,Brasil,-,https://portal.inmet.gov.br/noticias/inmet-comemora-111-anos
Publicado ao longo de novembro/2020,,crise hídrica,oeste do Paraná,estiagem,"Publicado em 04/11: http://www.aen.pr.gov.br/modules/noticias/article.php?storyid=109509&tit=Governador-pede-apoio-da-Uniao-contra-crise-hidrica
Publicado em 05/11: http://www.aen.pr.gov.br/modules/noticias/article.php?storyid=109510&tit=Copel-alerta-sobre-incendios-em-areas-de-preservacao-de-Usinas
Publicado em 26/11: http://www.aen.pr.gov.br/modules/noticias/article.php?storyid=109854&tit=Sanepar-adota-rodizio-em-nove-cidades-do-Oeste-e-Sudoeste"
1/8/2020,ainda nao terminou,Estiagem,Sul,La Niña? (anomalias de precipitação foram observadas anteriores à Niña),"https://www.noticiasagricolas.com.br/noticias/soja/274647-rs-e-sc-sao-estados-com-situacao-mais-severa-para-seca-na-soja-chuvas-ainda-pontuais-e-insuficientes.html

https://gauchazh.clicrbs.com.br/geral/noticia/2020/12/mais-13-cidades-tem-situacao-de-emergencia-homologada-devido-a-estiagem-no-rs-ckipvptvr000g017w9b1qarmi.html"
1/1/2020,31/12/2020,State of the Global Climate 2020 (preliminar),Todo o Globo,-,https://library.wmo.int/doc_num.php?explnum_id=10444
1/1/2020,31/12/2020,Boletim climático de 2020 da China,China,-,https://public.wmo.int/en/media/news-from-members/2020-china-climate-bulletin-above-normal-temperature-and-precipitation-china
Lançado em 01/11/2020,,Boletim de gases de efeito estufa da OMM,Todo o Globo,-,https://library.wmo.int/doc_num.php?explnum_id=10437
1/1/2020,31/12/2020,2020 STATE OF CLIMATE SERVICES,Todo o Globo,-,https://library.wmo.int/doc_num.php?explnum_id=10385
1/1/2020,31/12/2020,Clima Australia 2020,Austrália,-,http://www.bom.gov.au/climate/current/annual/aus/
1/1/2020,31/12/2020,Maior temperatura em 110 anos,Porto Alegre,-,https://www.climatempo.com.br/noticia/2020/01/01/porto-alegre-registra-maior-temperatura-em-dezembro-em-110-anos-1058
1/1/2020,31/12/2020,Casos significativos: tabelas CPTEC,Brasil,-,https://www.cptec.inpe.br/noticias/noticia/130882
1/1/2021,31/01/2021,Balanço das condições climáticas,capitais do NE,-,"https://portal.inmet.gov.br/uploads/notastecnicas/balan%C3%A7o_capitais_nordeste_janeiro_2021.pdf#page=1&zoom=auto,-100,848"
1/1/2021,31/12/2021,Casos significativos: tabelas CPTEC,Brasil,-,https://www.cptec.inpe.br/noticias/noticia/130882
2/1/2021,2/1/2021,Geada,RS e SC,,"https://www.cnnbrasil.com.br/nacional/2021/01/02/em-pleno-verao-temperatura-chega-a-5c-no-rio-grande-do-sul-e-sc-tem-geada
https://g1.globo.com/sc/santa-catarina/noticia/2021/01/02/primeiro-fim-de-semana-de-2021-em-sc-tem-geada-e-calor-acima-dos-30oc-fotos.ghtml
https://gauchazh.clicrbs.com.br/geral/noticia/2021/01/chuva-de-granizo-e-geada-em-pleno-verao-marcam-entrada-do-ano-na-serra-de-sc-ckjhjrbom002y01hs8j6xbccj.html"
2/1/2021,2/1/2021,Granizo,Bom Jardim da Serra,,"https://www.nsctotal.com.br/noticias/chuva-com-queda-granizo-atinge-cidade-da-serra-de-sc-veja-imagens
https://g1.globo.com/sc/santa-catarina/noticia/2020/11/12/serra-catarinense-registra-chuva-de-granizo-nesta-quinta-feira.ghtml"
meados de fevereiro,,Onda de frio extrema,EUA e Europa,Sudden Stratospheric Warming,"https://public.wmo.int/en/media/news/extreme-weather-hits-usa-europe?fbclid=IwAR1nDq5YxQe0KUe8EeZtR2i-bLZJOFD2cIRyzzQZYRe3ggvkvQGc0QHkAak
https://earthobservatory.nasa.gov/images/147941/extreme-winter-weather-causes-us-blackouts"
18/02/2020,,Poeira do Sahara chega à Europa,,,"https://earthobservatory.nasa.gov/images/147952/saharan-dust-heading-for-europe
https://www.forbes.com/sites/marshallshepherd/2021/02/06/why-is-saharan-dust-over-europe-right-now/?sh=3eede14051a0
https://public.wmo.int/en/media/news/sand-and-dust-storm-hits-europe
https://www.bbc.com/news/av/world-europe-55966867
https://atmosphere.copernicus.eu/saharan-dust-colours-skies-snow"
1/2/2021,28/02/2021,Balanço da chuva de fevereiro de 2021 nas capitais brasileiras,,,https://www.climatempo.com.br/noticia/2021/03/03/balanco-da-chuva-de-fevereiro-de-2021-nas-capitais-brasileiras-8363
1/2/2021,28/02/2021,Mês mais chuvoso desde 1910,BH,,https://www.climatempo.com.br/noticia/2021/03/02/bh-teve-o-terceiro-fevereiro-mais-chuvoso-desde-1910-8340
28/02/2021,28/02/2021,Lançamento do satélite Amazonia 1,Lançamento: Índia,-,"http://www.inpe.br/amazonia1/
http://www.inpe.br/noticias/noticia.php?Cod_Noticia=5715&utm_source=dlvr.it&utm_medium=facebook"
1/1/2020,31/12/2020,Casos significativos: tabelas CPTEC,Brasil,-,https://www.cptec.inpe.br/noticias/noticia/130882
1/12/2020,31/03/2021,Boletim NOAA,Mundial,,https://www.ncei.noaa.gov/news/global-climate-202102
